{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 __init__.py:421(PercentStyle)
       46    0.000    0.000    0.001    0.000 typing.py:1595(copy_with)
      138    0.000    0.000    0.001    0.000 enum.py:1525(__and__)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      579    0.000    0.000    0.001    0.000 typing.py:1320(__setattr__)
       80    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     4191    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      409    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     2161    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
      171    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
      469    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        1    0.001    0.001    0.001    0.001 pathlib.py:455(PurePath)
      128    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 load.py:58(get_min_temperatures)
        1    0.001    0.001    0.001    0.001 abc.py:56(Traversable)
        1    0.000    0.000    0.001    0.001 load.py:59(<dictcomp>)
      880    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
      151    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
     1379    0.000    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
       19    0.000    0.000    0.001    0.000 ipaddress.py:1475(__init__)
     1199    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        7    0.000    0.000    0.001    0.000 typing.py:723(Optional)
       79    0.000    0.000    0.001    0.000 typing.py:1279(__init__)
      186    0.001    0.000    0.001    0.000 _compiler.py:388(<listcomp>)
     1210    0.000    0.000    0.001    0.000 _parser.py:176(append)
     2148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
      156    0.000    0.000    0.001    0.000 enum.py:688(__call__)
       99    0.000    0.000    0.001    0.000 typing.py:715(<genexpr>)
        1    0.001    0.001    0.001    0.001 quoprimime.py:55(<listcomp>)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      443    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2268(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
     4280    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.001    0.001    0.001    0.001 {built-in method math.exp}
       13    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       69    0.000    0.000    0.001    0.000 status_codes.py:122(<genexpr>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2192(__init__)
     1681    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 request.py:939(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1246(CookieJar)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        2    0.000    0.000    0.000    0.000 __init__.py:576(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:1670(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:435(validate)
      617    0.000    0.000    0.000    0.000 typing.py:1266(_is_dunder)
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       17    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
      156    0.000    0.000    0.000    0.000 enum.py:1095(__new__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 typing.py:2071(__init_subclass__)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
      310    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
      398    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1509    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      326    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
      465    0.000    0.000    0.000    0.000 enum.py:1507(_get_value)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
       79    0.000    0.000    0.000    0.000 typing.py:1591(<genexpr>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
     1634    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      407    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       10    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
      679    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
      679    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      177    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
       82    0.000    0.000    0.000    0.000 typing.py:251(_collect_parameters)
        1    0.000    0.000    0.000    0.000 cookiejar.py:874(DefaultCookiePolicy)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
      991    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      408    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      521    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      410    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       46    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      409    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      286    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        9    0.000    0.000    0.000    0.000 __init__.py:2074(getLogger)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      504    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      339    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
      273    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      121    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
       28    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        1    0.000    0.000    0.000    0.000 cookies.py:103(MockResponse)
        9    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.000    0.000 _collections.py:206(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 models.py:225(CharsetMatches)
